id,sequence,parameter,code,name
value_req_cust_order_kept_open_no,12,req_cust_order_kept_open,no,No
value_req_cust_order_kept_open_day_before_delivery,13,req_cust_order_kept_open,day_before_delivery,Until day before delivery
value_req_cust_backorder_shipment_next_scheduled_delivery,14,req_cust_backorder_shipment,next_scheduled_delivery,Next scheduled delivery
value_req_cust_backorder_shipment_asap,15,req_cust_backorder_shipment,asap,As soon as possible
value_req_so_partial_delivery_allowed,34,req_so_partial_delivery,allowed,Allowed
value_req_so_partial_delivery_forbidden,35,req_so_partial_delivery,forbidden,Forbidden
